Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Average cultivated land area (ha),;Household level;Malawi;Expenditure quintile 4;2017;0.69999999;0.52999997;2006;;
Average cultivated land area (ha),;Household level;Malawi;Expenditure quintile 5;2017;0.69999999;0.62;1524;;
Average cultivated land area (ha),;Household level;Malawi;Small holder farms;2017;0.40000001;0.27000001;6626;;
Average cultivated land area (ha),;Household level;Malawi;Non-small holder farms;2017;0.80000001;0.54000002;3304;;
Average cultivated land area (ha),;Household level;Malawi;Income from agriculture greater than 30%;2017;0.60000002;0.47;8369;;
Average cultivated land area (ha),;Household level;Malawi;Income from agriculture lower than 30%;2017;0.5;0.46000001;1561;;
Average cultivated land area (ha),;Household level;Malawi;National;2017;0.60000002;0.47;9930;;
Average cultivated land area (ha),;Household level;Malawi;Rural;2020;0.69999999;0.57999998;8396;;
Average cultivated land area (ha),;Household level;Malawi;Urban;2020;0.40000001;0.5;786;;
Average cultivated land area (ha),;Household level;Malawi;Only male adults in the household;2020;0.5;0.50999999;398;;
Average cultivated land area (ha),;Household level;Malawi;Only female adults in the household;2020;0.5;0.41;1953;;
Average cultivated land area (ha),;Household level;Malawi;Male and female adults in the household;2020;0.69999999;0.61000001;6827;;
Average cultivated land area (ha),;Household level;Malawi;Small holder farms;2020;0.40000001;0.28999999;6251;;
Average cultivated land area (ha),;Household level;Malawi;Non-small holder farms;2020;1;0.67000002;2922;;
Average cultivated land area (ha),;Household level;Malawi;Income from agriculture greater than 30%;2020;0.69999999;0.58999997;7330;;
Average cultivated land area (ha),;Household level;Malawi;Income from agriculture lower than 30%;2020;0.60000002;0.52999997;1851;;
Average cultivated land area (ha),;Household level;Malawi;National;2020;0.69999999;0.57999998;9182;;
Average cultivated land area (ha),;Household level;Mali;Rural;2014;5.5;6.7399998;2151;;
Average cultivated land area (ha),;Household level;Mali;Urban;2014;2.5;3.47;133;;
Average cultivated land area (ha),;Household level;Mali;Male and female adults in the household;2014;5.4000001;6.6999998;2246;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 1;2014;6.5;7.8200002;710;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 2;2014;5.4000001;6.0999999;609;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 3;2014;5.3000002;6.9299998;500;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 4;2014;4.4000001;5.5100002;299;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 5;2014;2.9000001;3.95;166;;
Average cultivated land area (ha),;Household level;Mali;Small holder farms;2014;3.0999999;3;1610;;
Average cultivated land area (ha),;Household level;Mali;Non-small holder farms;2014;8;8.5900002;671;;
Average cultivated land area (ha),;Household level;Mali;Income from agriculture greater than 30%;2014;5.6999998;6.8600001;2025;;
Average cultivated land area (ha),;Household level;Mali;Income from agriculture lower than 30%;2014;2.7;4.1599998;259;;
Average cultivated land area (ha),;Household level;Mali;National;2014;5.3000002;6.6700001;2284;;
Average cultivated land area (ha),;Household level;Mali;Rural;2017;6.9000001;6.9200001;2086;;
Average cultivated land area (ha),;Household level;Mali;Urban;2017;2;2.79;122;;
Average cultivated land area (ha),;Household level;Mali;Male and female adults in the household;2017;6.9000001;6.9200001;2158;;
Average cultivated land area (ha),;Household level;Mali;Small holder farms;2017;3.9000001;3.96;1637;;
Average cultivated land area (ha),;Household level;Mali;Non-small holder farms;2017;11;7.9400001;571;;
Average cultivated land area (ha),;Household level;Mali;Income from agriculture greater than 30%;2017;7.0999999;7;1947;;
Average cultivated land area (ha),;Household level;Mali;Income from agriculture lower than 30%;2017;4.5;5.3299999;259;;
Average cultivated land area (ha),;Household level;Mali;National;2017;6.8000002;6.8899999;2208;;
Average cultivated land area (ha),;Household level;Mali;Rural;2019;4.3000002;3.6800001;2592;;
Average cultivated land area (ha),;Household level;Mali;Urban;2019;2.9000001;3.3599999;551;;
Average cultivated land area (ha),;Household level;Mali;Only male adults in the household;2019;4.3000002;3.9300001;38;;
Average cultivated land area (ha),;Household level;Mali;Only female adults in the household;2019;1.2;1.16;69;;
Average cultivated land area (ha),;Household level;Mali;Male and female adults in the household;2019;4.3000002;3.6800001;3036;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 1;2019;4.5999999;3.8699999;911;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 2;2019;4.1999998;3.55;817;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 3;2019;4.0999999;3.6800001;670;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 4;2019;4;3.72;466;;
Average cultivated land area (ha),;Household level;Mali;Expenditure quintile 5;2019;3.5;3.0899999;279;;
Average cultivated land area (ha),;Household level;Mali;Small holder farms;2019;2.4000001;2.0999999;2176;;
Average cultivated land area (ha),;Household level;Mali;Non-small holder farms;2019;6.4000001;3.95;967;;
Average cultivated land area (ha),;Household level;Mali;Income from agriculture greater than 30%;2019;4.6999998;3.8099999;2403;;
Average cultivated land area (ha),;Household level;Mali;Income from agriculture lower than 30%;2019;2.5999999;2.5899999;740;;
Average cultivated land area (ha),;Household level;Mali;National;2019;4.1999998;3.6700001;3143;;
Average cultivated land area (ha),;Household level;Mongolia;Rural;2014;1.9;5.8499999;552;;
Average cultivated land area (ha),;Household level;Mongolia;Urban;2014;1.2;4.48;247;;
Average cultivated land area (ha),;Household level;Mongolia;Only female adults in the household;2014;1.1;6.1799998;50;;
Average cultivated land area (ha),;Household level;Mongolia;Male and female adults in the household;2014;1.7;5.5;730;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 1;2014;1;3.1700001;197;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 2;2014;1.4;4.5100002;179;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 3;2014;1.9;5.0599999;155;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 4;2014;2.4000001;7.6100001;142;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 5;2014;2.0999999;7.0999999;126;;
Average cultivated land area (ha),;Household level;Mongolia;Small holder farms;2014;0.30000001;0.69;584;;
Average cultivated land area (ha),;Household level;Mongolia;Non-small holder farms;2014;4.5999999;8.9899998;207;;
Average cultivated land area (ha),;Household level;Mongolia;Income from agriculture greater than 30%;2014;2;5.6199999;385;;
Average cultivated land area (ha),;Household level;Mongolia;Income from agriculture lower than 30%;2014;1.4;5.3899999;414;;
Average cultivated land area (ha),;Household level;Mongolia;National;2014;1.7;5.5100002;799;;
Average cultivated land area (ha),;Household level;Mongolia;Rural;2018;2.8;11.85;501;;
Average cultivated land area (ha),;Household level;Mongolia;Urban;2018;2;10.12;178;;
Average cultivated land area (ha),;Household level;Mongolia;Only female adults in the household;2018;0.1;0.28;36;;
Average cultivated land area (ha),;Household level;Mongolia;Male and female adults in the household;2018;2.8;11.81;629;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 1;2018;1.8;8.3199997;189;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 2;2018;1.8;7.2600002;143;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 3;2018;1.4;7.4400001;115;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 4;2018;1.3;5.79;116;;
Average cultivated land area (ha),;Household level;Mongolia;Expenditure quintile 5;2018;6.8000002;20.92;116;;
Average cultivated land area (ha),;Household level;Mongolia;Small holder farms;2018;0.2;0.40000001;502;;
Average cultivated land area (ha),;Household level;Mongolia;Non-small holder farms;2018;8.3999996;20.17;168;;
Average cultivated land area (ha),;Household level;Mongolia;Income from agriculture greater than 30%;2018;3;11.91;273;;
Average cultivated land area (ha),;Household level;Mongolia;Income from agriculture lower than 30%;2018;2.3;11.03;406;;
Average cultivated land area (ha),;Household level;Mongolia;National;2018;2.5999999;11.38;679;;
Average cultivated land area (ha),;Household level;Mozambique;Rural;2009;1.5;1.1900001;5211;;
Average cultivated land area (ha),;Household level;Mozambique;Urban;2009;1.1;0.99000001;2374;;
Average cultivated land area (ha),;Household level;Mozambique;Only male adults in the household;2009;1.1;0.87;318;;
Average cultivated land area (ha),;Household level;Mozambique;Only female adults in the household;2009;1.1;0.87;1576;;
Average cultivated land area (ha),;Household level;Mozambique;Male and female adults in the household;2009;1.5;1.23;5674;;
Average cultivated land area (ha),;Household level;Mozambique;Expenditure quintile 1;2009;1.2;1.0700001;1240;;
Average cultivated land area (ha),;Household level;Mozambique;Expenditure quintile 2;2009;1.4;1.11;1424;;
Average cultivated land area (ha),;Household level;Mozambique;Expenditure quintile 3;2009;1.5;1.26;1568;;
Average cultivated land area (ha),;Household level;Mozambique;Expenditure quintile 4;2009;1.5;1.1799999;1639;;
Average cultivated land area (ha),;Household level;Mozambique;Expenditure quintile 5;2009;1.5;1.1799999;1714;;
Average cultivated land area (ha),;Household level;Mozambique;Small holder farms;2009;0.89999998;0.69999999;5054;;
Average cultivated land area (ha),;Household level;Mozambique;Non-small holder farms;2009;1.9;1.3200001;2529;;
Average cultivated land area (ha),;Household level;Mozambique;Income from agriculture greater than 30%;2009;1.5;1.1900001;5759;;
Average cultivated land area (ha),;Household level;Mozambique;Income from agriculture lower than 30%;2009;1.2;1.03;1825;;
Average cultivated land area (ha),;Household level;Mozambique;National;2009;1.4;1.17;7585;;
Average cultivated land area (ha),;Household level;Nepal;Rural;2011;2;1.96;3482;;
Average cultivated land area (ha),;Household level;Nepal;Urban;2011;1.2;1.73;788;;
Average cultivated land area (ha),;Household level;Nepal;Only male adults in the household;2011;1.4;2.0699999;79;;
Average cultivated land area (ha),;Household level;Nepal;Only female adults in the household;2011;1.1;1.14;739;;
Average cultivated land area (ha),;Household level;Nepal;Male and female adults in the household;2011;2.0999999;2.04;3444;;
Average cultivated land area (ha),;Household level;Nepal;Expenditure quintile 1;2011;1.8;1.65;930;;
Average cultivated land area (ha),;Household level;Nepal;Expenditure quintile 2;2011;2.2;2.02;908;;
Average cultivated land area (ha),;Household level;Nepal;Expenditure quintile 3;2011;2;1.8099999;908;;
Average cultivated land area (ha),;Household level;Nepal;Expenditure quintile 4;2011;1.9;1.98;849;;
Average cultivated land area (ha),;Household level;Nepal;Expenditure quintile 5;2011;1.7;2.3699999;675;;
Average cultivated land area (ha),;Household level;Nepal;Small holder farms;2011;0.89999998;0.77999997;2237;;
Average cultivated land area (ha),;Household level;Nepal;Non-small holder farms;2011;2.9000001;2.1800001;2028;;
Average cultivated land area (ha),;Household level;Nepal;Income from agriculture greater than 30%;2011;2.3;2.01;2595;;
Average cultivated land area (ha),;Household level;Nepal;Income from agriculture lower than 30%;2011;1.4;1.72;1675;;
Average cultivated land area (ha),;Household level;Nepal;National;2011;1.9;1.95;4270;;
Average cultivated land area (ha),;Household level;Nicaragua;Rural;2014;3;6.7800002;1023;;
Average cultivated land area (ha),;Household level;Nicaragua;Urban;2014;0.5;2.8699999;2612;;
Average cultivated land area (ha),;Household level;Nicaragua;Only male adults in the household;2014;1.6;4.5900002;183;;
Average cultivated land area (ha),;Household level;Nicaragua;Only female adults in the household;2014;0.5;2.4000001;422;;
Average cultivated land area (ha),;Household level;Nicaragua;Male and female adults in the household;2014;2.0999999;5.77;3026;;
Average cultivated land area (ha),;Household level;Nicaragua;Expenditure quintile 1;2014;1.9;4.1100001;563;;
Average cultivated land area (ha),;Household level;Nicaragua;Expenditure quintile 2;2014;2.2;5.6700001;757;;
Average cultivated land area (ha),;Household level;Nicaragua;Expenditure quintile 3;2014;1.7;4.4699998;807;;
Average cultivated land area (ha),;Household level;Nicaragua;Expenditure quintile 4;2014;2.4000001;8.1899996;818;;
Average cultivated land area (ha),;Household level;Nicaragua;Expenditure quintile 5;2014;1.1;4.3200002;690;;
Average cultivated land area (ha),;Household level;Nicaragua;Small holder farms;2014;0.69999999;2.0599999;3410;;
Average cultivated land area (ha),;Household level;Nicaragua;Non-small holder farms;2014;7.5;10.93;225;;
Average cultivated land area (ha),;Household level;Nicaragua;Income from agriculture greater than 30%;2014;3.3;6.71;911;;
Average cultivated land area (ha),;Household level;Nicaragua;Income from agriculture lower than 30%;2014;0.69999999;3.8900001;2724;;
Average cultivated land area (ha),;Household level;Nicaragua;National;2014;1.9;5.5100002;3635;;
Average cultivated land area (ha),;Household level;Niger;Rural;2011;4.4000001;3.53;1828;;
Average cultivated land area (ha),;Household level;Niger;Urban;2011;2.7;2.72;271;;
Average cultivated land area (ha),;Household level;Niger;Only male adults in the household;2011;3.2;2.29;87;;
Average cultivated land area (ha),;Household level;Niger;Only female adults in the household;2011;2.2;2.4100001;103;;
Average cultivated land area (ha),;Household level;Niger;Male and female adults in the household;2011;4.5;3.5599999;1908;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 1;2011;4.5;3.52;475;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 2;2011;4.4000001;3.24;453;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 3;2011;4.4000001;3.71;445;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 4;2011;4.5;3.77;388;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 5;2011;3.5999999;3.21;285;;
Average cultivated land area (ha),;Household level;Niger;Small holder farms;2011;2.8;2.1199999;1414;;
Average cultivated land area (ha),;Household level;Niger;Non-small holder farms;2011;5.8000002;3.9100001;685;;
Average cultivated land area (ha),;Household level;Niger;Income from agriculture greater than 30%;2011;4.5;3.4100001;873;;
Average cultivated land area (ha),;Household level;Niger;Income from agriculture lower than 30%;2011;4.1999998;3.5799999;1226;;
Average cultivated land area (ha),;Household level;Niger;National;2011;4.3000002;3.51;2099;;
Average cultivated land area (ha),;Household level;Niger;Rural;2014;4.8000002;5.1799998;1538;;
Average cultivated land area (ha),;Household level;Niger;Urban;2014;3;3.5899999;214;;
Average cultivated land area (ha),;Household level;Niger;Only male adults in the household;2014;3.3;2.7;33;;
Average cultivated land area (ha),;Household level;Niger;Only female adults in the household;2014;3.0999999;4.3299999;162;;
Average cultivated land area (ha),;Household level;Niger;Male and female adults in the household;2014;4.9000001;5.1999998;1556;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 1;2014;4.4000001;4.1700001;392;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 2;2014;4.8000002;4.29;377;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 3;2014;5;5.7399998;391;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 4;2014;4.6999998;5.29;348;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 5;2014;4.6999998;6.8099999;244;;
Average cultivated land area (ha),;Household level;Niger;Small holder farms;2014;2.8;2.5999999;1195;;
Average cultivated land area (ha),;Household level;Niger;Non-small holder farms;2014;6.4000001;6.1500001;557;;
Average cultivated land area (ha),;Household level;Niger;Income from agriculture greater than 30%;2014;5.0999999;5.9400001;867;;
Average cultivated land area (ha),;Household level;Niger;Income from agriculture lower than 30%;2014;4.3000002;4.1199999;885;;
Average cultivated land area (ha),;Household level;Niger;National;2014;4.6999998;5.1300001;1752;;
Average cultivated land area (ha),;Household level;Niger;Rural;2019;6.0999999;96.239998;3404;;
Average cultivated land area (ha),;Household level;Niger;Urban;2019;2.8;4.1999998;197;;
Average cultivated land area (ha),;Household level;Niger;Only male adults in the household;2019;2.5;2.6199999;112;;
Average cultivated land area (ha),;Household level;Niger;Only female adults in the household;2019;1.7;1.47;329;;
Average cultivated land area (ha),;Household level;Niger;Male and female adults in the household;2019;6.5999999;101.34;3154;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 1;2019;3.0999999;2.8299999;878;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 2;2019;3.7;4.5599999;861;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 3;2019;14.5;198.71001;794;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 4;2019;3.9000001;15.63;655;;
Average cultivated land area (ha),;Household level;Niger;Expenditure quintile 5;2019;3.4000001;3.8;413;;
Average cultivated land area (ha),;Household level;Niger;Small holder farms;2019;2.4000001;1.9;2613;;
Average cultivated land area (ha),;Household level;Niger;Non-small holder farms;2019;12.1;155.75;986;;
Average cultivated land area (ha),;Household level;Niger;Income from agriculture greater than 30%;2019;6.9000001;108.67;2383;;
Average cultivated land area (ha),;Household level;Niger;Income from agriculture lower than 30%;2019;4.3000002;59.709999;1218;;
Average cultivated land area (ha),;Household level;Niger;National;2019;6;94.099998;3601;;
Average cultivated land area (ha),;Household level;Nigeria;Rural;2013;1;1.53;2461;;
Average cultivated land area (ha),;Household level;Nigeria;Urban;2013;0.89999998;1.47;323;;
Average cultivated land area (ha),;Household level;Nigeria;Only male adults in the household;2013;0.80000001;0.88999999;94;;
Average cultivated land area (ha),;Household level;Nigeria;Only female adults in the household;2013;0.40000001;1.76;210;;
Average cultivated land area (ha),;Household level;Nigeria;Male and female adults in the household;2013;1;1.51;2479;;
Average cultivated land area (ha),;Household level;Nigeria;Expenditure quintile 1;2013;1.3;1.71;937;;
Average cultivated land area (ha),;Household level;Nigeria;Expenditure quintile 2;2013;0.89999998;1.4299999;659;;
Average cultivated land area (ha),;Household level;Nigeria;Expenditure quintile 3;2013;0.89999998;1.47;477;;
Average cultivated land area (ha),;Household level;Nigeria;Expenditure quintile 4;2013;0.80000001;1.63;366;;
Average cultivated land area (ha),;Household level;Nigeria;Expenditure quintile 5;2013;0.69999999;0.88999999;284;;
Average cultivated land area (ha),;Household level;Nigeria;Small holder farms;2013;0.5;0.52999997;1832;;
Average cultivated land area (ha),;Household level;Nigeria;Non-small holder farms;2013;1.6;2.05;947;;
Average cultivated land area (ha),;Household level;Nigeria;Income from agriculture greater than 30%;2013;1.1;1.59;2141;;
Average cultivated land area (ha),;Household level;Nigeria;Income from agriculture lower than 30%;2013;0.60000002;1.22;643;;
Average cultivated land area (ha),;Household level;Nigeria;National;2013;1;1.52;2784;;
Average cultivated land area (ha),;Household level;Nigeria;Rural;2016;1.2;1.89;1990;;
Average cultivated land area (ha),;Household level;Nigeria;Urban;2016;1;1.63;221;;
Average cultivated land area (ha),;Household level;Nigeria;Only male adults in the household;2016;1.1;1.37;81;;
Average cultivated land area (ha),;Household level;Nigeria;Only female adults in the household;2016;0.40000001;0.66000003;177;;
Average cultivated land area (ha),;Household level;Nigeria;Male and female adults in the household;2016;1.2;1.9299999;1953;;
Average cultivated land area (ha),;Household level;Nigeria;Small holder farms;2016;0.60000002;0.56;1671;;
Average cultivated land area (ha),;Household level;Nigeria;Non-small holder farms;2016;2.5;2.8299999;536;;
Average cultivated land area (ha),;Household level;Nigeria;Income from agriculture greater than 30%;2016;1.2;1.9;1470;;
Average cultivated land area (ha),;Household level;Nigeria;Income from agriculture lower than 30%;2016;1;1.87;621;;
Average cultivated land area (ha),;Household level;Nigeria;No income from agriculture;2016;0.60000002;0.94999999;120;;
Average cultivated land area (ha),;Household level;Nigeria;National;2016;1.1;1.86;2211;;
Average cultivated land area (ha),;Household level;Nigeria;Rural;2019;1.5;1.85;2250;;
Average cultivated land area (ha),;Household level;Nigeria;Urban;2019;1.2;1.73;415;;
Average cultivated land area (ha),;Household level;Nigeria;Only male adults in the household;2019;1.3;1.6900001;134;;
Average cultivated land area (ha),;Household level;Nigeria;Only female adults in the household;2019;0.60000002;0.88;216;;
Average cultivated land area (ha),;Household level;Nigeria;Male and female adults in the household;2019;1.6;1.88;2314;;
Average cultivated land area (ha),;Household level;Nigeria;Small holder farms;2019;0.89999998;0.95999998;2031;;
Average cultivated land area (ha),;Household level;Nigeria;Non-small holder farms;2019;2.4000001;2.29;598;;
Average cultivated land area (ha),;Household level;Nigeria;Income from agriculture greater than 30%;2019;1.7;1.96;2097;;
Average cultivated land area (ha),;Household level;Nigeria;Income from agriculture lower than 30%;2019;0.89999998;1.22;565;;
Average cultivated land area (ha),;Household level;Nigeria;National;2019;1.5;1.83;2665;;
Average cultivated land area (ha),;Household level;Pakistan;Rural;2014;3.5999999;3.1900001;4318;;
Average cultivated land area (ha),;Household level;Pakistan;Urban;2014;5.0999999;4.4099998;201;;
Average cultivated land area (ha),;Household level;Pakistan;Only female adults in the household;2014;0.89999998;1;117;;
Average cultivated land area (ha),;Household level;Pakistan;Male and female adults in the household;2014;3.8;3.28;4377;;
Average cultivated land area (ha),;Household level;Pakistan;Expenditure quintile 1;2014;3.7;2.96;1632;;
Average cultivated land area (ha),;Household level;Pakistan;Expenditure quintile 2;2014;3.5999999;3.29;1178;;
Average cultivated land area (ha),;Household level;Pakistan;Expenditure quintile 3;2014;3.5;3.1099999;796;;
Average cultivated land area (ha),;Household level;Pakistan;Expenditure quintile 4;2014;3.9000001;3.6099999;558;;
Average cultivated land area (ha),;Household level;Pakistan;Expenditure quintile 5;2014;4.3000002;3.9000001;329;;
Average cultivated land area (ha),;Household level;Pakistan;Small holder farms;2014;2.3;2.1099999;2879;;
Average cultivated land area (ha),;Household level;Pakistan;Non-small holder farms;2014;5.0999999;3.5899999;1635;;
Average cultivated land area (ha),;Household level;Pakistan;Income from agriculture greater than 30%;2014;4;3.23;3864;;
Average cultivated land area (ha),;Household level;Pakistan;Income from agriculture lower than 30%;2014;1.9;2.9000001;650;;
Average cultivated land area (ha),;Household level;Pakistan;National;2014;3.7;3.27;4519;;
Average cultivated land area (ha),;Household level;Panama;Rural;2008;4.6999998;9.5900002;1350;;
Average cultivated land area (ha),;Household level;Panama;Urban;2008;2.5;7.8200002;177;;
Average cultivated land area (ha),;Household level;Panama;Only male adults in the household;2008;3.5;7.96;240;;
Average cultivated land area (ha),;Household level;Panama;Only female adults in the household;2008;2.2;5.5100002;58;;
Average cultivated land area (ha),;Household level;Panama;Male and female adults in the household;2008;4.5999999;9.7299995;1227;;
Average cultivated land area (ha),;Household level;Panama;Expenditure quintile 1;2008;4.3000002;8.6199999;565;;
Average cultivated land area (ha),;Household level;Panama;Expenditure quintile 2;2008;4.4000001;10.11;346;;
Average cultivated land area (ha),;Household level;Panama;Expenditure quintile 3;2008;3.2;6.8099999;224;;
Average cultivated land area (ha),;Household level;Panama;Expenditure quintile 4;2008;4.1999998;9.2700005;225;;
Average cultivated land area (ha),;Household level;Panama;Expenditure quintile 5;2008;5.8000002;12.09;167;;
Average cultivated land area (ha),;Household level;Panama;Small holder farms;2008;2.2;4.8099999;1197;;
Average cultivated land area (ha),;Household level;Panama;Non-small holder farms;2008;15.9;16.1;207;;
Average cultivated land area (ha),;Household level;Panama;Income from agriculture greater than 30%;2008;6.0999999;10.84;716;;
Average cultivated land area (ha),;Household level;Panama;Income from agriculture lower than 30%;2008;3.2;7.9899998;809;;
Average cultivated land area (ha),;Household level;Panama;National;2008;4.3000002;9.3400002;1527;;
Average cultivated land area (ha),;Household level;Peru;Rural;2015;0.8;1.98;8521;;
Average cultivated land area (ha),;Household level;Peru;Urban;2015;1;2.59;2990;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2015;1;2.19;860;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2015;0.3;0.72;1133;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2015;0.9;2.31;9516;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2015;0.7;1.81;6142;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2015;0.8;1.66;2859;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2015;1.1;2.13;1324;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2015;1.6;4.08;735;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2015;2.5;3.96;451;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2015;0.4;0.67;8816;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2015;1.9;3.59;2695;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2015;0.9;2.24;9777;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2015;0.6;1.93;1734;;
Average cultivated land area (ha),;Household level;Peru;National;2015;0.9;2.2;11511;;
Average cultivated land area (ha),;Household level;Peru;Rural;2016;0.9;5.5;8783;;
Average cultivated land area (ha),;Household level;Peru;Urban;2016;1.2;5.72;3391;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2016;1.2;3.64;953;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2016;0.4;2.88;1169;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2016;1.1;5.95;10049;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2016;0.8;6.27;6476;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2016;1;4.21;2935;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2016;1.3;4.33;1395;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2016;1.6;3.61;889;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2016;3;8.56;479;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2016;0.5;0.73;9381;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2016;2.4;9.95;2792;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2016;1.1;5.8;10196;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2016;0.8;4.39;1977;;
Average cultivated land area (ha),;Household level;Peru;National;2016;1;5.58;12174;;
Average cultivated land area (ha),;Household level;Peru;Rural;2017;0.9;5.16;8687;;
Average cultivated land area (ha),;Household level;Peru;Urban;2017;2.3;31.99;3274;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2017;0.9;2.48;1002;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2017;1;10.46;1242;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2017;1.5;20.92;9716;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2017;0.7;3.55;6395;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2017;1;6.56;2967;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2017;1.1;3.48;1378;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2017;8.7;74.17;746;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2017;2.2;4.31;475;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2017;0.6;1.03;9678;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2017;3.7;37.02;2283;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2017;1;4.95;10022;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2017;3;44.62;1939;;
Average cultivated land area (ha),;Household level;Peru;National;2017;1.4;19.21;11961;;
Average cultivated land area (ha),;Household level;Peru;Rural;2018;1.2;11.23;9712;;
Average cultivated land area (ha),;Household level;Peru;Urban;2018;1.2;5.01;3651;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2018;1.5;9.01;1103;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2018;0.9;9.45;1520;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2018;1.2;9.53;10739;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2018;1.2;12.5;7189;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2018;0.9;2.49;3273;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2018;1.4;4.95;1544;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2018;2;5.39;791;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2018;2.7;6.65;566;;
